Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,TAN_Exemption,Recipient_Type,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason,Exemption_Threshold,Currency
500,1081,DIF00108AA,FLYJAC LOGISTICS PRIVATE,AABCF2133M,IN,CI,C1,,0001,1NF0726FMJ,50,2026-07-30,2027-03-31,AL,21867716,INR
500,1079,DID00384AB,DESIGNTECH SYSTEMS PRIVAT,AABCD2335F,IN,JI,J1,,0001,1NA0726SQD,66.5,2026-07-06,2027-03-31,AL,8426700,INR
500,1079,DIM00398AK,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMO,60,2026-04-16,2027-03-31,AL,1202274130,INR
500,1081,DIM00398AK,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1079,DIF00108AG,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMH,50,2026-07-30,2027-03-31,AL,4027553,INR
500,1081,DIF00108AG,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMJ,50,2026-07-30,2027-03-31,AL,21867716,INR
500,1079,DIM00398AI,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMO,60,2026-04-16,2027-03-31,AL,1202274130,
500,1081,DIM00398AI,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1081,DIM01158AX,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DLSIF001,FCM TRAVEL SOLUTIONS,AAACF2674C,IN,CI,C1,,0001,1AD0625YCY,94.5,2025-06-20,2026-03-31,AL,181110593,INR
500,1001,DII00181AA,INTERACTIVE AVENUES PRIVATE,AACCI0954J,IN,CI,C1,,0001,1ND0726ETP,25,2026-07-24,2027-03-31,AL,1476824000,INR
500,1079,DII00181AA,INTERACTIVE AVENUES PRIVATE,AACCI0954J,IN,CI,C1,,0001,1ND0726EUX,25,2026-07-24,2027-03-31,AL,31189000,INR
500,1001,DII00181AA,INTERACTIVE AVENUES PRIVATE,AACCI0954J,IN,JI,J1,,0001,1ND0726EYS,70,2026-07-24,2027-03-31,AL,58622000,INR
500,1079,DII00181AA,INTERACTIVE AVENUES PRIVATE,AACCI0954J,IN,JI,J1,,0001,1ND0726EZO,70,2026-07-24,2027-03-31,AL,7200000,INR
500,1081,DIM00398AQ,Mahindra Logistic Ltd,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1081,DIT00166AA,TEAMLEASE SKILLS UNIVERSITY,AAAJT2549P,IN,CI,C4,,0001,1AE0625BOK,100,2025-06-20,2026-03-31,AL,162000,INR
500,1081,DIM01158AP,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1081,DIM01158AU,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DLA0425601,HERO MINDMINE INSTITUTE PVT LTD,AABCH8741B,IN,JI,J1,,0001,1NA0626TBA,75,2026-06-12,2027-03-31,AL,10000000,INR
500,1081,DIT00161AD,TCI SUPPLY CHAIN SOLUTIONS -,AAACT7966R,IN,CI,C1,,0001,1AA0426SZQ,65,2026-04-02,2027-03-31,AL,69190000,INR
